subset_size,subset_id,variables,normal_mass,f13_mass,delta_mass,retention_ratio
8,41,"xmeas_10,xmeas_12,xmeas_19,xmeas_20,xmeas_23,xmeas_37,xmeas_39,xmeas_9",0.07287545619668234,0.16005713574378344,0.0871816795471011,2.1963105807828756
8,42,"xmeas_17,xmeas_18,xmeas_19,xmeas_2,xmeas_29,xmeas_32,xmeas_34,xmeas_8",0.06657564578000154,0.5699686556152582,0.5033930098352567,8.561218566960527
8,43,"xmeas_1,xmeas_2,xmeas_32,xmeas_34,xmeas_4,xmeas_40,xmeas_5,xmeas_7",0.06627602213849765,0.08850393395154685,0.0222279118130492,1.335383913552641
8,44,"xmeas_1,xmeas_11,xmeas_19,xmeas_21,xmeas_22,xmeas_25,xmeas_31,xmeas_35",0.07180353758008445,0.10889482063745042,0.03709128305736596,1.5165662327478004
8,45,"xmeas_10,xmeas_18,xmeas_22,xmeas_25,xmeas_34,xmeas_36,xmeas_39,xmeas_9",0.06835506687269385,0.09063711860285277,0.022282051730158917,1.3259751268923494
8,46,"xmeas_11,xmeas_12,xmeas_20,xmeas_22,xmeas_23,xmeas_29,xmeas_5,xmeas_9",0.06019047953103161,0.1226981647981514,0.06250768526711979,2.038497874585693
8,47,"xmeas_1,xmeas_13,xmeas_14,xmeas_26,xmeas_27,xmeas_30,xmeas_40,xmeas_7",0.07001775939809646,0.10810513116566763,0.03808737176757117,1.543967301161738
8,48,"xmeas_22,xmeas_28,xmeas_31,xmeas_39,xmeas_40,xmeas_5,xmeas_6,xmeas_9",0.07243080822264773,0.0726415572040796,0.00021074898143186305,1.0029096580075854
8,49,"xmeas_1,xmeas_10,xmeas_22,xmeas_24,xmeas_34,xmeas_37,xmeas_39,xmeas_41",0.09953653943501482,0.09837025554841691,-0.0011662838865979103,0.9882828558030428
8,50,"xmeas_11,xmeas_19,xmeas_23,xmeas_29,xmeas_3,xmeas_41,xmeas_6,xmeas_7",0.058860963019487726,0.7374366906318208,0.6785757276123331,12.52845097241825
8,51,"xmeas_1,xmeas_10,xmeas_2,xmeas_23,xmeas_34,xmeas_36,xmeas_6,xmeas_7",0.07552914105547417,0.10389572557073339,0.02836658451525921,1.3755713884905372
8,52,"xmeas_11,xmeas_14,xmeas_20,xmeas_23,xmeas_25,xmeas_27,xmeas_28,xmeas_30",0.07677498508243434,0.12013945413591777,0.04336446905348343,1.5648254942731656
8,53,"xmeas_1,xmeas_14,xmeas_17,xmeas_18,xmeas_2,xmeas_21,xmeas_30,xmeas_33",0.06580527742705411,0.08127383353083086,0.015468556103776746,1.2350655841762428
8,54,"xmeas_11,xmeas_14,xmeas_17,xmeas_24,xmeas_28,xmeas_37,xmeas_6,xmeas_8",0.05934576232924359,0.060415360320348735,0.0010695979911051479,1.0180231552738142
8,55,"xmeas_12,xmeas_16,xmeas_17,xmeas_25,xmeas_26,xmeas_28,xmeas_32,xmeas_35",0.07741989628430906,0.08035060273587902,0.0029307064515699532,1.0378546922489027
